Línea;Codigo;Descripción;Nivel
ALIMENTOS CONCENTRADOS RAZA;1112;SUPERCAN CROQUETAS*30K;1,1
ALIMENTOS CONCENTRADOS RAZA;1113;RAZA CONEJOS *1K;1,1
ALIMENTOS CONCENTRADOS RAZA;1114;CODORNICES *1K;1,1
ALIMENTOS CONCENTRADOS RAZA;1116;RAZA CORRAL LEVANTE *40K;1,1
ALIMENTOS CONCENTRADOS RAZA;1117;RAZA CORRAL PONEDORA *40K;1,1
ALIMENTOS CONCENTRADOS RAZA;1119;RAZA PERROS *30KL;1,1
ALIMENTOS CONCENTRADOS RAZA;1120;SUPERCAN CROQUETAS *500G;1,1
ALIMENTOS CONCENTRADOS RAZA;1125;SUPERCAN CACHORROS *15 KG;1,1
ALIMENTOS CONCENTRADOS RAZA;1126;SUPERCAN CROQUETAS*1KG;1,1
ALIMENTOS CONCENTRADOS RAZA;1127;RAZA PERROS *10KL;1,1
ALIMENTOS CONCENTRADOS RAZA;1129;SUPER ENGORDE EXTRA*KL;1,1
ALIMENTOS CONCENTRADOS RAZA;1130;SUPER POLLITO INICIACION*KL;1,1
ALIMENTOS CONCENTRADOS RAZA;1133;RAZA PERROS*8KL;1,1
ALIMENTOS CONCENTRADOS RAZA;1137;PACA *20 RAZA CONEJOS *1K;1,1
ALIMENTOS CONCENTRADOS RAZA;1139;PACA *20 RAZA CORRAL ENGORDE *1K;1,1
ALIMENTOS CONCENTRADOS RAZA;1140;PACA*20 RAZA CORRAL LEVANTE *1K;1,1
ALIMENTOS CONCENTRADOS RAZA;1141;PACA*20 SUPER POLLITO INICIACION*1K;1,1
ALIMENTOS CONCENTRADOS RAZA;1142;PACA *20 RAZA CORRAL PONEDORA *1K;1,1
ALIMENTOS CONCENTRADOS RAZA;1143;PACA *20 SUPERCAN CACHORROS *500GR;1,1
ALIMENTOS CONCENTRADOS RAZA;1144;PACA*20SUPERCAN CROQUETAS *500G;1,1
ALIMENTOS CONCENTRADOS RAZA;1145;PACA*20 SUPERCAN CROQUETAS*1KG;1,1
ALIMENTOS CONCENTRADOS RAZA;1149;BULTO SUPERCAN CROQUETAS *15K;1,1
ALIMENTOS CONCENTRADOS RAZA;1151;PACA *10 SUPERCAN DELI CACHORRO *1.5K;1,1
ALIMENTOS CONCENTRADOS RAZA;1160;SUPERCAT DELCIOSO SABOR*8KG;1,1
ALIMENTOS CONCENTRADOS RAZA;1161;SUPERCAT DELCIOSO SABOR*500GR;1,1
ALIMENTOS CONCENTRADOS RAZA;1162;PACA*20 SUPERCAT DELCIOSO SABOR*500GR;1,1
ALIMENTOS CONCENTRADOS RAZA;1163;EASYCAT ARENA XA GATOS*4.5KG;1,1
ALIMENTOS CONCENTRADOS RAZA;1164;OF SUPERCAT DELCIOSO SABOR*500GR PG10 LLV11;1,1
ALIMENTOS CONCENTRADOS RAZA;1165;OF EASYCAT ARENA XA GATOS*4.5KG GTS 1SUPERCAT DEL SABOR*500GR;1,1
ALIMENTOS CONCENTRADOS RAZA;1166;OF SUPERCAN CACHORROS *500GR PG10 LL11;1,1
ALIMENTOS CONCENTRADOS RAZA;1167;SUPERCAT DELCIOSO SABOR*1KG;1,1
ALIMENTOS CONCENTRADOS RAZA;1169;OF 1 SUPERCAN CROQ*30K GTS 1 SUP CAT DELC SABOR*500GR;1,1
ALIMENTOS CONCENTRADOS RAZA;1170;OF 10 SUPERCAN CACHORROS*500GR GTS 1 SUPERCAT DELI SABOR*500;1,1
ALIMENTOS CONCENTRADOS RAZA;1171;OF 5 SUPERCAN CACHORROS *500GR+5 SUPERCAT DELCIOSO SABOR*500GR GTS 1 SUPERCAN CACHORROS *500GR;1,1
ALDOR;1202;PIN POP BUMBA FRESA*24 UND;2
ALDOR;1203;PIN POP BUMBA SURTIDO*24 UND;2
ALDOR;1204;PIN POP BUMBA GIG SURT*24 UND;2
ALDOR;1205;PIN POP BUMBA GIGANTE FRESA*24 UND;2
ALDOR;1206;PIN POP BUMBA GIG MANCHALENGUA MORAZUL*24 UND;2
ALDOR;1209;SONETO RELLEN CHOCOL ROSAD*100UND;2
ALDOR;1217;TROLLY NINJA SPLASH*49.5GR;2
ALDOR;1218;TROLLI GOMAS MAGENTA SUR*24 BANAN-MORDISC+OINK+EMOCION;2
ALDOR;1220;PINPOP+POLVO ACID*12UN;2
ALDOR;1221;FRUNAS ORIGINAL *32UNDS;2
ALDOR;1223;TROLLI GOMASTDA AZUL*24 (NINJA-SPLASH-RATATON-ANAYCONDA-MORGAN*44.7GR);2
ALDOR;1224;TROLLI NINJA SPLASH DISPLAY*100UN;2
ALDOR;1227;CHUPETOON PINA COLADA *48UNDS;2
ALDOR;1228;MANGOOS *48UNDS;2
ALDOR;1229;TROLLI RATATON *45GR;2
ALDOR;1231;SONETTO RELLEN CHOCOL BLANCO*100UN;2
ALDOR;1233;MECHAS LOCAS RENOV DE SABORES*6UNDS;2
ALDOR;1234;SONETTO RELLENO CHOCOLATE*100UND;2
ALDOR;1235;MIST MENTOLADO SURTIDO*100UNDS;2
ALDOR;1240;FRUNAS SPACIALES FR ROJOS*70UN;2
ALDOR;1241;ANIS RELLENO *100UNDS;2
ALDOR;1242;DULCE TAMARINDO *100UNDS;2
ALDOR;1244;MORITAS CARAMELO RELLENO*100UNDS;2
ALDOR;1246;K-BZOON XL PINTALENGUAS *48UNDS;2
ALDOR;1247;FRUNA TUBO ORIG EXPRESSIONS *50;2
ALDOR;1250;TROLLY RATATON DISPLAY*50;2
ALDOR;1252;MECHAS LOCAS CHOCOLOCAS*6UND;2
ALDOR;1254;FRUNAS SPACIALES MIX*70UND;2
ALDOR;1255;FRUNAS FRUGOSAS DISP*12UN;2
ALDOR;1258;K-BZOON REG SURTIDO *48 UNDS;2
ALDOR;1268;TROLLI ABRA CADABRA *50UN;2
ALDOR;1271;TROLLI BANANAS *42GR;2
ALDOR;1272;TROLLI MORDISCOS *45.5GR;2
ALDOR;1274;TROLLI GOMITAS OINK*100UNDS DISPLAY;2
ALDOR;1276;TROLLI GOMITAS MORDISCOS*50UND DISPLAY;2
ALDOR;1277;TROLLI GOMITAS POTE MORGAN*60UND;2
ALDOR;1278;TROLLI ANAYCONDA *48GR;2
ALDOR;1279;TROLLI BOCADOS STDO(GUANABANA,MORA,LULO)*24UN;2
ALDOR;1281;TROLLI EMOCIONES*45GR;2
ALDOR;1286;YOGUETA CHOCOMIX *24UND;2
ALDOR;1287;YOGUETA DESSERTS *24UN;2
ALDOR;1288;YOGUETA FRUTALES*24UND;2
ALDOR;1290;CLICK MENTA*110UND;2
ALDOR;1291;CLICK FRESA*110UND;2
ALDOR;1292;CLICK UVA*100UND;2
ALDOR;1293;CLICK YERBABUENA*110UND;2
ALDOR;1294;PIN POP TRIPLE *24UND;2
ALDOR;1296;TROLLI NVO STDO(RUGIDOS+ENLLAMAT+MOTOSO)*57GR*24UND;2
ALDOR;1297;TROLLI ENLLAMATE DISPLAY*50UN;2
ALDOR;1298;TROLLI MORGAN*52GR;2
ALDOR;1299;TOFFELO ARTESANO SURT*50 UNDS;2
PFIZER CONSUMER HEALTCHARE;1301;ADVIL CHILDREN SUSPENSION FCO*60ML;3
PFIZER CONSUMER HEALTCHARE;1303;ADVIL FEM *20 TABLETAS;3
PFIZER CONSUMER HEALTCHARE;1304;ADVIL MAX *20CAPSULAS LIQU;3
PFIZER CONSUMER HEALTCHARE;1305;ADVIL GRIPA MULTI*20CAPS;3
PFIZER CONSUMER HEALTCHARE;1306;ADVIL MAX *40 CAPS;3
PFIZER CONSUMER HEALTCHARE;1307;ADVIL ULTRA *20CAPS;3
PFIZER CONSUMER HEALTCHARE;1308;ADVIL ULTRA *40CAP;3
PFIZER CONSUMER HEALTCHARE;1310;CHAPSTICK *4UNDS;3
PFIZER CONSUMER HEALTCHARE;1314;MAREOL *12 TAB;3
PFIZER CONSUMER HEALTCHARE;1315;MAREOL *72 TAB;3
PFIZER CONSUMER HEALTCHARE;1316;CONDONES HAWAII PAG24 LLV36;3
PFIZER CONSUMER HEALTCHARE;1317;CONDONES TODAY *12UNDS;3
PFIZER CONSUMER HEALTCHARE;1330;CONDONES TODAY *12UNDS PAG3 LLV4;3
PFIZER CONSUMER HEALTCHARE;1334;MAREOL *84;3
PFIZER CONSUMER HEALTCHARE;1341;DOLEX FORTE*48;3
PFIZER CONSUMER HEALTCHARE;1343;DOLEX ACTIVGEL*10CAPS;3
PFIZER CONSUMER HEALTCHARE;1344;DOLEX ACETAMINOFEN*50TABLET;3
PFIZER CONSUMER HEALTCHARE;1345;DOLEX FRASCO 2+ NINOS*90ML;3
PFIZER CONSUMER HEALTCHARE;1346;DOLEX NINOS CEREZ*20TAB;3
PFIZER CONSUMER HEALTCHARE;1347;DOLEX BEBES 1-24 MESES JARABE*60ML;3
PFIZER CONSUMER HEALTCHARE;1348;DOLEX GRIPA*48TABLETAS;3
PFIZER CONSUMER HEALTCHARE;1349;EMULSION SCOTT TROPICAL*180ML;3
PFIZER CONSUMER HEALTCHARE;1351;DOLEX FORTE*8 PACK*3;3
PFIZER CONSUMER HEALTCHARE;1356;EMULSION SCOTT TRADICIONAL*180ML;3
PFIZER CONSUMER HEALTCHARE;1357;EMULSION SCOTT CEREZA*180ML;3
PFIZER CONSUMER HEALTCHARE;1362;OF ADVIL ULTRA *40 CAPSULAS GTS ADVIL MAX*4;3
PFIZER CONSUMER HEALTCHARE;1363;TRIPACK DOLEX FOR*8+ADV ULT*20+DOLEX ACETA*50 GTS ADVMAX*10;3
PFIZER CONSUMER HEALTCHARE;1365;CONDONES TODAY LUBRICADO*3UNDS;3
PFIZER CONSUMER HEALTCHARE;1366;EMULSION SCOTT CEREZA*360ML;3
PFIZER CONSUMER HEALTCHARE;1380;DOLEX FRASCO 7+ NINOS*120ML;3
PFIZER CONSUMER HEALTCHARE;1382;DOLEX ACETAM*50+ADVIL MAX*20+ADVIL GRIPA*10+DOLEX FORTE*8 ;3
PFIZER CONSUMER HEALTCHARE;1383;OF 1ADVIL MAX *20+1ADVIL ULTRA*20 GTS 2 PAN HARINA BCA*1000GR;3
PFIZER CONSUMER HEALTCHARE;1384;ADVIL MAX *40CAPSULAS GTS ADVIL GRIPA*4;3
PFIZER CONSUMER HEALTCHARE;1386;OF 1 ADVIL MAX *20 GTS 1 PAN HARINA BCA*500GR;3
PFIZER CONSUMER HEALTCHARE;1387;OF 1 ADVIL ULTRA*20 GTS 1 PAN HARINA BCA*500GR;3
PFIZER CONSUMER HEALTCHARE;1388;OF 1 ADVIL MAX *20CAP GTS 1 ADVIL MAX*5 CAP;3
PFIZER CONSUMER HEALTCHARE;1389;OF 1 ADVIL ULTRA*20CAP GTS 1 ADVIL MAX*5 CAP;3
PFIZER CONSUMER HEALTCHARE;1390;OF 1 DOLEX FORTE*48 GTS 2 ADVIL MAX*5 CAP;3
PFIZER CONSUMER HEALTCHARE;1391;OF 1 DOLEX ACETAMINOFEN*50TAB GTS 1 ADVIL MAX*5 CAP;3
PFIZER CONSUMER HEALTCHARE;1392;OF 1 DOLEX FORTE*8 PACK*3 GTS 1 ADVIL MAX*5 CAP;3
PFIZER CONSUMER HEALTCHARE;1393;OF 1 CONDONES TODAY *12UNDS GTS 2 ADVIL MAX*5 CAP;3
DETERGENTES LTDA;1402;TOP EXPERT *1000 GR;1,3
DETERGENTES LTDA;1403;TOP EXPERT *500GR;1,3
DETERGENTES LTDA;1404;MARGARINA LA FINA MESA*125GR;1,1
DETERGENTES LTDA;1405;TOP EXPERT *125GR;1,3
DETERGENTES LTDA;1406;TOP EXPERT *2000GR;1,3
DETERGENTES LTDA;1407;TOP EXPERT *4000GR;1,3
DETERGENTES LTDA;1408;TOP COMBI FLORAL UNIDAD;1,3
DETERGENTES LTDA;1409;DET AS BICARBON + JB REY *250GR;1,3
DETERGENTES LTDA;1414;TOP EXPERT *250GR;1,3
DETERGENTES LTDA;1417;TOP MULTIUSOS*1000GR;1,3
DETERGENTES LTDA;1418;TOP MULTIUSOS*500GR;1,3
DETERGENTES LTDA;1419;TOP MULTIUSOS *250GR;1,3
DETERGENTES LTDA;1420;TOP MULTIUSOS *125GR;1,3
DETERGENTES LTDA;1421;DETERGENTE TOP TERRA *1000GR CJA;1,3
DETERGENTES LTDA;1425;DETERGENTE LIQUIDO DERSA *1000ML;1,3
DETERGENTES LTDA;1426;DETERGENTE LIQUIDO DERSA *400ML;1,3
DETERGENTES LTDA;1427;SUAVISANTE DERSA TRAD*900ML;1,3
DETERGENTES LTDA;1428;SUAVISANTE DERSA TRAD *450ML;1,3
DETERGENTES LTDA;1429;SUAVISANTE DERSA TRAD *200ML;1,3
DETERGENTES LTDA;1432;ESPONJILLON TOP *36UNDS;3
DETERGENTES LTDA;1433;JB DERSA COCO CON SUAV *200GR *3UNDS;1,3
DETERGENTES LTDA;1434;JB DORADO TORONJ ROSAD Y ARGAN*125GR *3UNDS;1,3
DETERGENTES LTDA;1435;JB DORADO TE VERDE Y OLIVA *125GR *3 UNDS;1,3
DETERGENTES LTDA;1437;JB DORADO UVA Y COLAGENO *125GR *3UNDS;1,3
DETERGENTES LTDA;1440;JB DORADO AVENA Y MIEL *125GR *3UNDS;1,3
DETERGENTES LTDA;1443;JB DORADO FRESH ARTIC *125GR*3UNDS;1,3
DETERGENTES LTDA;1445;JB DORADO FRESH NATURAL *125GR*3UNDS;1,3
DETERGENTES LTDA;1446;LAVALOZA TOP TERRA *500ML DOYPACK;1,3
DETERGENTES LTDA;1448;JB BARRA TOP TERRA AZUL *250GR *3UNDS;1,3
DETERGENTES LTDA;1449;JB TOP COMBI FLORAL *230GR *3UNDS;1,3
DETERGENTES LTDA;1450;DETERGENTE AS BARRA *250G  DISPENSADOR*6;1,3
DETERGENTES LTDA;1452;OF SUAVISANTE DERSA*200ML PG8 LLV9;1,3
DETERGENTES LTDA;1462;JB BARRA DETERGENTE AS *250GR;1,3
DETERGENTES LTDA;1463;JB DERSA EXTRABLANCO *250GR *3UND;1,3
DETERGENTES LTDA;1464;JB DERSA AZUL PURO*250GR *3UNDS;1,3
DETERGENTES LTDA;1465;LAVALOZA DERSA *450GR;1,3
DETERGENTES LTDA;1466;LAVALOZA DERSA *225GR;1,3
DETERGENTES LTDA;1468;LIMPIADOR LIQUIDO MULTIUSOS *200ML;1,3
DETERGENTES LTDA;1470;JB BARRA TOP TERRA BLANCO *250GR *3UNDS;1,3
DETERGENTES LTDA;1474;DETERGENTE LIQ DERSA *4 LT;1,3
DETERGENTES LTDA;1475;SUAVISANTE DERSA *4 LT;1,3
DETERGENTES LTDA;1476;LIMPIADOR 1-A PINO*500GR;1,3
DETERGENTES LTDA;1477;LIMPIADOR 1-A LIMON*500GR;1,3
DETERGENTES LTDA;1478;DET LIQUIDO TOP TERRA *3000ML;1,3
DETERGENTES LTDA;1479;DET LIQUIDO TOP TERRA *2000ML;1,3
DETERGENTES LTDA;1481;JB REY *300GR;1,3
DETERGENTES LTDA;1482;SUAVISANTE MANZ Y DURAZNO *450ML;1,3
DETERGENTES LTDA;1483;SUAVISANTE MANZ Y DURAZNO *200ML;1,3
DETERGENTES LTDA;1486;DET LIQUIDO TOP TERRA *900ML DOYPACK;1,3
DETERGENTES LTDA;1495;SUAVISANTE MANZ Y DURAZNO *900ML;1,3
GOLOSINAS TRULULU;1501;TRULULU SNACKS SURT*90GR *24;2
GOLOSINAS TRULULU;1503;TRULULU CHOCOVAINILLA*65GR;2
GOLOSINAS TRULULU;1504;TRULULU OSITOS PIRAMIDAL *50;2
SUPER DE ALIMENTOS SA;1505;MENTA CHAO LINEA FRESA*24 UNDS;2
GOLOSINAS TRULULU;1507;SUPERCOCO BARRA CEREAL*12UND;2
GOLOSINAS TRULULU;1509;TRULULU AROS BOLSA *100;2
SUPER DE ALIMENTOS SA;1510;BOMBON SUPERCOCO BOLSA*24;2
SUPER DE ALIMENTOS SA;1511;SUPERCOCO TURRON *100UN;2
SUPER DE ALIMENTOS SA;1513;LOKINO BARRAS SURTIDAS *50 UN;2
SUPER DE ALIMENTOS SA;1515;MENTA CHAO LINEA*24;2
SUPER DE ALIMENTOS SA;1516;MENTA HELADA CLASICA *100;2
GOLOSINAS TRULULU;1517;OKA LOKA NANO DISP*12;2
GOLOSINAS TRULULU;1518;OKA LOKA NANO *24;2
GOLOSINAS TRULULU;1519;TRULULU SIRENAS*88UN;2
SUPER DE ALIMENTOS SA;1520;MENTA CHAO LIMON LINEA*24 UNDS;2
GOLOSINAS TRULULU;1521;BIANCHI CHOCOLORES MANI *12;2
GOLOSINAS TRULULU;1522;TRULULU CHOCOLORES GOMAS *12;2
SUPER DE ALIMENTOS SA;1523;BIG BEN SURTIDO *100UN;2
SUPER DE ALIMENTOS SA;1524;TRULULU SUPERPODEROSO*90GR;2
SUPER DE ALIMENTOS SA;1525;LOKINO *100UN;2
GOLOSINAS TRULULU;1526;BIANCHI CHOCOLATINA BLANCA*12;2
GOLOSINAS TRULULU;1527;BIANCHI CHOCOLATE *100;2
GOLOSINAS TRULULU;1529;TRULULU SABORES *90G;2
GOLOSINAS TRULULU;1530;BIANCHI CHOCOLORES*55GR;2
GOLOSINAS TRULULU;1531;TRULULU MASMELOS BARRILETE*60GR;2
SUPER DE ALIMENTOS SA;1534;TRULULU GUSANOS ACIDOS *80G;2
SUPER DE ALIMENTOS SA;1535;BARRILETE *40UN *12GR;2
SUPER DE ALIMENTOS SA;1536;BOMBON SUPERCOCO POTE*48;2
SUPER DE ALIMENTOS SA;1537;BOMBAZO CHICLE *50;2
SUPER DE ALIMENTOS SA;1538;OKA LOKA CHICLE EN POLVO *12;2
GOLOSINAS TRULULU;1540;TRULULU SABORES *12;2
SUPER DE ALIMENTOS SA;1543;TRULULU CLASICAS BOLSA *100;2
SUPER DE ALIMENTOS SA;1549;OKA LOKA FUSION*12;2
SUPER DE ALIMENTOS SA;1550;RICATO CARAMELO RUSTICO*50UND;2
GOLOSINAS TRULULU;1552;TRULULU ORO *90G;2
GOLOSINAS TRULULU;1553;TRULULU FRESITA *90GR;2
SUPER DE ALIMENTOS SA;1554;OKA LOKA CHICLE REVOL-ACIDO*50 UN;2
GOLOSINAS TRULULU;1556;TRULULU MASMELO COLORES*70G;2
GOLOSINAS TRULULU;1557;TRULULU MASMELOS NUBES *70GR;2
SUPER DE ALIMENTOS SA;1558;BIANCHI EN LINEA BLANCO *24;2
GOLOSINAS TRULULU;1561;BIANCHI CHOCOLATINA *12;2
SUPER DE ALIMENTOS SA;1562;TRULULU GUSANOS *100 UND;2
SUPER DE ALIMENTOS SA;1563;LOKINO CHICLE BOMBA*50U;2
GOLOSINAS TRULULU;1565;BIANCHI CHOCOLATE BLANCO*100;2
SUPER DE ALIMENTOS SA;1568;BOMBON LOKINO FRESA *24;2
SUPER DE ALIMENTOS SA;1569;OKA LOKA UNICORNIO*24UNDS;2
GOLOSINAS TRULULU;1570;TRULULU AROS *90GR;2
GOLOSINAS TRULULU;1578;TRULULU GUSANOS *90GR;2
GOLOSINAS TRULULU;1579;TRULULU CASQUITOS VITAC*90GR;2
GOLOSINAS TRULULU;1580;TRULULU DINOS *90GR;2
SUPER DE ALIMENTOS SA;1581;TRULULU CLASICAS *90GR;2
SUPER DE ALIMENTOS SA;1584;BIANCHI COOKIES & CREAM*48GR;2
SUPER DE ALIMENTOS SA;1585;RICATO CARAMELO*50 UND;2
SUPER DE ALIMENTOS SA;1588;TIRUDITO SUPERCOCO *50UND;2
SUPER DE ALIMENTOS SA;1591;OKA LOKA CARAMELO REVOLCON *50UNDS;2
SUPER DE ALIMENTOS SA;1592;OKA LOKA REVOLCON ATOMOS*48UNDS;2
GOLOSINAS TRULULU;1597;TRULULU SPLASH *90GR;2
INDUSTRIAS KATORI;1601;KATORI ESPIRAL *10;3
INDUSTRIAS KATORI;1602;KATORI ESPIRAL *50;3
INDUSTRIAS KATORI;1604;CAJA KATORI*50 ESPIRALES*12DISPL 3%DTO;3
INDUSTRIAS KATORI;1607;UNIDAD ELECTRICA+5PASTILA;3
INDUSTRIAS KATORI;1608;PASTILLAS * 15;3
INDUSTRIAS KATORI;1609;ATOMIZADOR PLASTICO;3
INDUSTRIAS KATORI;1610;PASTILLAS KATORI*24+UNIDAD ELCT;3
INDUSTRIAS KATORI;1611;RATAQUIL *10GR;3
INDUSTRIAS KATORI;1612;RATAQUIL *20GR;3
INDUSTRIAS KATORI;1613;VARSOL KATORI *150;3
INDUSTRIAS KATORI;1614;VARSOL KATORI *500;3
INDUSTRIAS KATORI;1615;CREOLINA KATORI *250;3
INDUSTRIAS KATORI;1616;CREOLINA  KATORI*120;3
INDUSTRIAS KATORI;1617;RISTRA DE PASTILLAS *30 UNDS;3
INDUSTRIAS KATORI;1619;KATORI LIQ TAPA *240ML;3
INDUSTRIAS KATORI;1620;KATORI LIQ VALVULA *240ML;3
INDUSTRIAS KATORI;1621;KATORI LIQ TAPA *500ML;3
INDUSTRIAS KATORI;1622;KATORI LIQ VALVULA *500ML;3
INDUSTRIAS KATORI;1623;CAJA KATORI ESPIRAL*10*26UN 3%DCTO;3
INDUSTRIAS KATORI;1624;KATORI LIQUIDO VALVULA*120ML;3
INDUSTRIAS KATORI;1625;KATORI MATAVOLADORES*235ML;3
INDUSTRIAS KATORI;1626;KATORI MATAVOLADORES*360ML;3
INDUSTRIAS KATORI;1627;PLATO QUEMADOR KATORI;3
INDUSTRIAS KATORI;1628;KATORI RISTRA PAPEL INSECTICIDA*20LIBROS;3
